inst,fecha,count,min,avg,max
24,"2019-01-07 12:00:00",1504,742.429045,850.1989238989,1061.308497
1,"2019-01-07 12:00:00",820,743.990395,845.7843606085,1070.387624
24,"2019-01-07 13:00:00",1688,963.511096,1094.2223141114,1378.413771
1,"2019-01-07 13:00:00",452,969.601212,1095.7516425044,1363.549758
24,"2019-01-07 14:00:00",967,3.084647,212.9476720031,1100.734434
1,"2019-01-07 14:00:00",614,2.875644,363.5684873909,1110.989813
24,"2019-01-07 15:00:00",1462,2.635139,8.0233589692,30.937187
1,"2019-01-07 15:00:00",816,2.836052,11.0811925135,28.983942
1,"2019-01-07 16:00:00",598,2.675319,9.9638184214,28.969632
24,"2019-01-07 16:00:00",1037,2.295108,9.6115777676,21.453787
24,"2019-01-07 17:00:00",946,3.06678,9.5044875677,49.294458
1,"2019-01-07 17:00:00",385,2.47678,10.3142295558,50.492488
1,"2019-01-07 18:00:00",335,2.560085,9.0619333701,16.374599
24,"2019-01-07 18:00:00",709,2.210906,8.7846377151,17.382715
1,"2019-01-07 19:00:00",695,2.724171,7.9759195367,38.516811
24,"2019-01-07 19:00:00",523,2.629161,9.0138559044,34.758405
1,"2019-01-07 20:00:00",310,3.041669,8.5847933903,16.438663
24,"2019-01-07 20:00:00",383,1.77688,8.4555504178,14.388439
1,"2019-01-07 21:00:00",298,3.326821,8.8402994799,13.195753
24,"2019-01-07 21:00:00",72,2.998802,6.9008879306,14.949999
24,"2019-01-07 22:00:00",18,5.272785,5.272785,5.272785
1,"2019-01-07 22:00:00",3,10.094445,10.0953863333,10.096578
1,"2019-01-08 00:00:00",3,6.944995,6.944995,6.944995
24,"2019-01-08 00:00:00",31,7.180302,7.180302,7.180302
1,"2019-01-08 01:00:00",7,11.035485,11.0354867143,11.035487
24,"2019-01-08 06:00:00",6580,4.478612,4.8733825578,10.373422
1,"2019-01-08 07:00:00",1326,2.330807,4.070451678,7.674776
24,"2019-01-08 07:00:00",1301,3.298798,5.7814184819,10.643818
24,"2019-01-08 08:00:00",746,5.260027,8.1599089544,10.655948
1,"2019-01-08 08:00:00",214,7.481008,7.4820787897,7.482115
24,"2019-01-08 09:00:00",89,2.461501,8.9145577416,14.821796
1,"2019-01-08 09:00:00",570,6.750118,7.4929868105,10.520915
1,"2019-01-08 10:00:00",714,3.564103,12.025990895,29.413915
24,"2019-01-08 10:00:00",2280,2.986235,26.1017691031,44.598725
24,"2019-01-08 11:00:00",825,3.69942,13.031661263,39.269285
1,"2019-01-08 11:00:00",522,2.191554,13.5317283429,34.406661
24,"2019-01-08 12:00:00",704,3.292104,376.0058479176,1647.330789
1,"2019-01-08 12:00:00",347,2.787306,355.9642967435,1646.373144
24,"2019-01-08 13:00:00",809,3.227693,91.034187974,774.711364
1,"2019-01-08 13:00:00",372,2.378646,15.4955441129,525.873361
1,"2019-01-08 14:00:00",262,3.000283,9.2032152023,96.519057
24,"2019-01-08 14:00:00",428,2.515011,10.4305266659,135.221201
24,"2019-01-08 15:00:00",1205,2.508418,8.2757199344,17.945322
1,"2019-01-08 15:00:00",413,3.286895,7.5893814116,14.362761
1,"2019-01-08 16:00:00",334,2.981478,7.5521507725,17.194619
24,"2019-01-08 16:00:00",1036,1.901213,7.9179428523,16.697251
1,"2019-01-08 17:00:00",612,2.758611,11.4325440801,306.159817
24,"2019-01-08 17:00:00",406,2.887686,28.8993997389,354.916449
1,"2019-01-08 18:00:00",340,2.624009,8.0312001559,16.521643
24,"2019-01-08 18:00:00",589,2.874478,9.1261005212,17.760805
24,"2019-01-08 19:00:00",633,2.609595,6.8574757757,15.729376
1,"2019-01-08 19:00:00",342,2.878015,7.2988121433,17.414382
24,"2019-01-08 20:00:00",378,3.141168,8.1287003783,13.846459
1,"2019-01-08 20:00:00",610,3.066874,7.8546051918,15.143348
24,"2019-01-08 21:00:00",91,2.974295,8.5135983626,17.620385
1,"2019-01-08 21:00:00",69,4.019349,7.1992207536,12.933379
24,"2019-01-09 07:00:00",452,7.646906,7.648052146,7.649114
1,"2019-01-09 08:00:00",81,8.265156,8.3003744815,8.668583
24,"2019-01-09 08:00:00",1078,5.587102,5.6796787532,10.379968
24,"2019-01-09 09:00:00",2383,3.972011,5.8263578468,11.671998
1,"2019-01-09 09:00:00",229,2.626765,8.3548214017,10.805782
1,"2019-01-09 10:00:00",263,2.461124,6.3645260722,16.583325
24,"2019-01-09 10:00:00",356,2.202665,6.8175779129,16.743029
24,"2019-01-09 11:00:00",397,2.946419,8.4414354912,15.041979
1,"2019-01-09 11:00:00",275,2.264198,8.0491806255,14.445682
1,"2019-01-09 12:00:00",590,2.135267,7.3858652458,14.843176
24,"2019-01-09 12:00:00",438,1.923572,8.024101484,18.433399
1,"2019-01-09 13:00:00",308,2.523075,7.9398637857,14.127195
24,"2019-01-09 13:00:00",616,1.956334,8.0727227192,15.738368
24,"2019-01-09 14:00:00",357,3.118143,7.8163887927,15.4114
1,"2019-01-09 14:00:00",326,3.08848,8.7478594264,16.624652
24,"2019-01-09 15:00:00",384,2.686389,8.5248976927,16.644598
1,"2019-01-09 15:00:00",289,2.73896,9.2184880692,15.142755
24,"2019-01-09 16:00:00",663,2.487038,9.1337819367,16.388881
1,"2019-01-09 16:00:00",426,2.953889,8.8363640798,13.988362
1,"2019-01-09 17:00:00",417,3.404859,8.2608383861,17.007803
24,"2019-01-09 17:00:00",541,1.810708,10.2382746525,15.679681
1,"2019-01-09 18:00:00",451,3.318016,8.3472596231,16.725238
24,"2019-01-09 18:00:00",566,2.256503,6.3786029982,17.894648
1,"2019-01-09 19:00:00",412,2.684166,8.3686397524,16.789923
24,"2019-01-09 19:00:00",705,3.183541,8.2124774993,17.29031
1,"2019-01-09 20:00:00",425,2.478847,7.7462135176,15.482723
24,"2019-01-09 20:00:00",407,2.860499,7.6071980197,17.11162
24,"2019-01-09 21:00:00",46,3.929774,6.3203648696,13.270306
1,"2019-01-09 21:00:00",49,3.252175,8.2331426327,14.267326
1,"2019-01-10 06:00:00",622,4.563904,4.6995430691,4.768545
24,"2019-01-10 06:00:00",3827,2.966631,5.7046436188,8.874562
1,"2019-01-10 07:00:00",42,7.882126,7.9110371667,8.055593
24,"2019-01-10 07:00:00",454,7.114435,7.8206683216,7.998046
24,"2019-01-10 08:00:00",15,2.872796,7.1714012667,11.120169
1,"2019-01-10 08:00:00",103,4.193243,4.7501725049,8.890538
1,"2019-01-10 09:00:00",129,3.764564,6.7847684264,9.735944
24,"2019-01-10 09:00:00",941,2.100621,6.62558961,9.832691
1,"2019-01-10 10:00:00",400,2.416842,53.2472383975,122.751254
24,"2019-01-10 10:00:00",2187,1.806805,9.0038910791,162.634924
24,"2019-01-10 11:00:00",1981,2.134401,10.5316528799,15.584212
1,"2019-01-10 11:00:00",456,2.065241,6.8860773794,15.286232
24,"2019-01-10 12:00:00",436,2.531677,8.1797724014,14.993065
1,"2019-01-10 12:00:00",446,3.224598,7.8947763296,14.537825
24,"2019-01-10 13:00:00",935,3.152955,8.4986847134,16.801166
1,"2019-01-10 13:00:00",316,2.686206,8.4713336835,15.882345
1,"2019-01-10 14:00:00",271,3.028517,8.4152377343,15.951626
24,"2019-01-10 14:00:00",390,0.9079,7.3853039205,14.943259
1,"2019-01-10 15:00:00",302,2.738396,7.3406456026,15.169823
24,"2019-01-10 15:00:00",298,2.938664,7.7460242953,16.207859
24,"2019-01-10 16:00:00",903,1.831757,8.16439766,16.657168
1,"2019-01-10 16:00:00",217,2.783692,8.2422188848,16.168185
24,"2019-01-10 17:00:00",501,2.657658,7.372000014,15.027091
1,"2019-01-10 17:00:00",218,2.37779,7.5251870734,16.960454
24,"2019-01-10 18:00:00",644,2.284156,8.541775132,15.187024
1,"2019-01-10 18:00:00",312,2.935714,7.8823858622,15.188202
24,"2019-01-10 19:00:00",775,2.195527,7.5426427703,17.87931
1,"2019-01-10 19:00:00",256,2.646182,7.87083325,15.864999
1,"2019-01-10 20:00:00",256,2.050658,8.2594343789,13.866466
24,"2019-01-10 20:00:00",419,2.491146,8.9742777757,14.670279
1,"2019-01-10 21:00:00",53,2.429939,6.570599,15.76473
24,"2019-01-10 21:00:00",315,3.527495,6.1992339714,13.283571
24,"2019-01-11 01:00:00",8,5.67294,5.67294,5.67294
24,"2019-01-11 07:00:00",828,3.451384,9.6231624287,11.154602
24,"2019-01-11 08:00:00",1251,2.201302,5.6614960719,15.215359
1,"2019-01-11 08:00:00",56,8.438253,8.438253,8.438253
1,"2019-01-11 09:00:00",40,3.333179,3.96254285,11.13319
24,"2019-01-11 09:00:00",1181,3.673415,8.6669445639,12.083205
1,"2019-01-11 10:00:00",326,2.586898,7.721846862,34.749693
24,"2019-01-11 10:00:00",1702,2.585248,5.9502456146,36.23166
24,"2019-01-11 11:00:00",425,3.05028,8.7913619882,19.939752
1,"2019-01-11 11:00:00",665,3.161204,8.2041744556,16.837807
1,"2019-01-11 12:00:00",310,2.801789,8.0029593774,16.688985
24,"2019-01-11 12:00:00",342,3.698248,8.7985575088,16.963411
24,"2019-01-11 13:00:00",1223,2.339719,6.3871891251,17.704292
1,"2019-01-11 13:00:00",301,2.786732,8.4559933455,16.252272
1,"2019-01-11 14:00:00",328,3.369016,6.688669311,14.861074
24,"2019-01-11 14:00:00",571,1.995968,9.177455303,16.476061
24,"2019-01-11 15:00:00",677,2.321096,7.9999449247,16.468486
1,"2019-01-11 15:00:00",704,2.478632,8.9038359318,14.518021
1,"2019-01-11 16:00:00",224,2.843989,8.3945632143,15.780185
24,"2019-01-11 16:00:00",955,2.259994,8.8416577236,16.323391
24,"2019-01-11 17:00:00",493,2.535426,7.7768055152,15.787079
1,"2019-01-11 17:00:00",289,2.36396,7.8324673737,13.940007
1,"2019-01-11 18:00:00",345,2.762729,8.3281342667,17.271187
24,"2019-01-11 18:00:00",785,1.960776,8.0188886433,15.826842
24,"2019-01-11 19:00:00",1011,2.731826,7.049018544,16.363748
1,"2019-01-11 19:00:00",311,1.743274,8.8786458907,15.72275
24,"2019-01-11 20:00:00",523,2.643751,7.4617597916,13.743022
1,"2019-01-11 20:00:00",396,2.480915,7.8576163788,15.338004
1,"2019-01-11 21:00:00",121,2.975672,7.2919377603,14.54261
24,"2019-01-11 21:00:00",67,3.605638,6.8823532239,12.502762
1,"2019-01-12 01:00:00",42,3.95154,5.6040571905,11.198108
24,"2019-01-12 06:00:00",5,5.205097,8.7877358,12.161762
24,"2019-01-12 07:00:00",5,3.360334,7.1835832,10.446353
1,"2019-01-12 08:00:00",71,7.314569,8.2969830141,9.564614
24,"2019-01-12 08:00:00",38,5.315949,9.1506511842,12.791325
24,"2019-01-12 09:00:00",1799,4.782179,6.3256075114,10.865118
1,"2019-01-12 09:00:00",75,2.826598,8.14195336,12.616754
1,"2019-01-12 10:00:00",159,2.818366,7.608709434,15.986192
24,"2019-01-12 10:00:00",226,2.639509,7.6913205044,13.46343
1,"2019-01-12 11:00:00",356,3.0036,6.753029059,14.75355
24,"2019-01-12 11:00:00",887,2.22955,8.7886372435,15.910166
24,"2019-01-12 12:00:00",952,2.528023,8.2722510126,16.427171
1,"2019-01-12 12:00:00",280,3.059896,8.0675415357,15.692786
24,"2019-01-12 13:00:00",781,2.346728,7.7420559283,17.713694
1,"2019-01-12 13:00:00",643,3.094638,8.7031260327,16.767854
1,"2019-01-12 14:00:00",332,2.944106,7.2035464337,15.664826
24,"2019-01-12 14:00:00",1493,2.94215,6.6959524307,14.99457
24,"2019-01-12 15:00:00",1123,2.463653,8.328906797,15.264803
1,"2019-01-12 15:00:00",263,3.513784,8.1096443916,17.985333
24,"2019-01-12 16:00:00",643,3.124888,8.096090647,17.006622
1,"2019-01-12 16:00:00",457,3.818122,8.0764405908,15.437351
1,"2019-01-12 17:00:00",695,2.892057,9.4217412619,16.038983
24,"2019-01-12 17:00:00",912,2.373135,7.510366455,17.288156
24,"2019-01-12 18:00:00",834,2.682725,7.6835086655,18.180528
1,"2019-01-12 18:00:00",451,3.250313,8.4026039933,17.185756
24,"2019-01-12 19:00:00",763,2.579518,7.767671671,16.850147
1,"2019-01-12 19:00:00",357,2.630923,7.9987026667,15.230532
1,"2019-01-12 20:00:00",273,1.867293,8.3247987179,16.540721
24,"2019-01-12 20:00:00",519,2.580035,7.3513959133,16.866632
1,"2019-01-12 21:00:00",165,2.895906,9.0416418182,15.816828
